class,weight
0,0.25373163719428143
1,0.0246937891378835
2,0.07130479303690283
3,0.030739238312787995
4,0.03658776731912883
5,0.049486038360048834
6,0.01984955299121736
7,0.05557087156866606
8,0.0010436768933874208
9,0.0008861407585364893
10,0.00055137647197826
11,0.021523374424008507
12,0.013548107597180102
13,0.010574613051868773
14,0.020991689968886614
15,0.000413532353983695
16,0.010436768933874208
17,0.00413532353983695
18,0.017762199204442518
19,0.029183568981135048
20,0.0033870268992950256
21,0.074376747666496
22,0.015792997518805876
23,0.05838682997912646
24,0.00634082942774999
25,0.16202591469418298
26,0.006458981528888188
27,0.0002166121854200307
